Epoch: 179 	Total: 187.3711 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.7178
Epoch: 180 	Total: 187.0849 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5645
Epoch: 181 	Total: 187.1853 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6330
Epoch: 182 	Total: 187.1395 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5766
Epoch: 183 	Total: 187.2500 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5066
Epoch: 184 	Total: 187.4027 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5957
Epoch: 185 	Total: 187.1152 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5590
Epoch: 186 	Total: 187.3403 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5248
Epoch: 187 	Total: 187.0699 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5301
Epoch: 188 	Total: 187.3109 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5998
Epoch: 189 	Total: 187.4382 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5306
Epoch: 190 	Total: 187.3434 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5454
Epoch: 191 	Total: 186.9595 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5340
Epoch: 192 	Total: 187.4022 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5317
Epoch: 193 	Total: 187.2241 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5187
Epoch: 194 	Total: 187.3142 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6034
Epoch: 195 	Total: 187.6007 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6243
Epoch: 196 	Total: 187.4754 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5896
Epoch: 197 	Total: 187.2443 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5735
